Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
1987,Sean Smith,Grambling State (LA),DE,76.30,273,9.25,31.50,,9.99,,,,9.99,9.99,
1987,Steve Smith,Penn State,RB,72.90,244,10.75,31.00,,9.99,12,,,9.99,9.99,
1987,Timmy Smith,Texas Tech,RB,70.60,216,9.00,27.75,,9.99,10,,,9.99,9.99,
1987,Loren Snyder,Northern Colorado,QB,75.60,207,,,,5.15,6,26.5,104,4.63,9.99,
1987,Tyrone Sorrells,Georgia Tech,OG,75.80,265,9.75,32.00,,4.82,18,30.5,114,5.05,9.99,
1987,Chris Spachman,Nebraska,DE,76.60,242,9.00,32.50,,5.01,11,26.5,109,4.40,9.99,
1987,Jason Stargel,Cincinnati,WR,74.30,186,,,,4.64,5,30.5,114,4.36,9.99,11.94
1987,Kelly Stouffer,Colorado State,QB,75.00,212,,,,4.95,,28.0,108,4.51,9.99,
1987,Troy Stradford,Boston College,RB,68.80,192,,,,4.65,,31.0,116,4.55,9.99,11.18
1987,Wilbur Strozier,Georgia,OG,75.80,273,9.75,32.50,,9.99,29,,,9.99,9.99,
1987,George Swarn,Miami (OH),RB,70.80,205,8.50,32.25,,4.60,16,33.5,121,4.25,9.99,11.34
1987,Kevin Sweeney,Frenso State (CA),QB,71.30,187,,,,9.99,,,,9.99,9.99,
1987,Ben Tamburello,Auburn,C,74.50,264,10.25,30.50,,5.03,20,28.0,108,4.59,9.99,
1987,Gene Taylor,Frenso State (CA),WR,74.30,189,,,,4.54,10,30.5,127,4.32,9.99,12.26
1987,Kitrick Taylor,Washington State,WR,70.80,178,,,,4.55,2,31.0,123,4.21,9.99,11.19
1987,Derek Tennell,UCLA,TE,76.30,243,9.00,32.25,,4.70,17,32.0,117,4.61,9.99,12.27
1987,Vinny Testaverde,Miami (FL),QB,76.30,213,10.00,33.50,,4.75,13,,,9.99,9.99,
